,,,,Date,Market cap,Volume,Supersector,Sector,Revision_real,Revision_20,mom,mom_short,30d_vol
ASNA US,16/Sep/2010,19/Nov/2010,30/Sep/2010,16/Sep/2010,1955.5959,17.07495056,Retail,General Retailers,0.00658513640639713,0.01599247412982141,1.2395309882747068,1.0495495495495497,0.024163546719620548
ASNA US,19/Nov/2010,02/Mar/2011,31/Dec/2010,19/Nov/2010,1938.016,16.67424581,Retail,General Retailers,0.0045745654162854255,0.015553522415370669,1.0942455822383326,0.9888198757763975,0.02187593880113934
ASPS US,10/Mar/2010,12/May/2010,31/Mar/2010,10/Mar/2010,649.831,3.835535886,Financial Services,Financial Services,-0.03285024154589378,-0.015458937198067457,3.2211392019494363,1.198340425531915,0.026870712017316924
ASPS US,12/May/2010,28/Oct/2010,30/Jun/2010,12/May/2010,584.6672,3.138924145,Financial Services,Financial Services,0.0004796163069544779,0.047002398081534835,3.708604934511118,0.9306590775624519,0.028707750289914805
ASPS US,28/Oct/2010,16/Feb/2012,31/Dec/2010,28/Oct/2010,641.6707,4.542866098,Financial Services,Financial Services,-0.02306238185255216,-0.007561436672967825,1.9669476951470155,0.8417814645796904,0.026259388881194917
ASTE US,20/Apr/2010,20/Jul/2010,30/Jun/2010,20/Apr/2010,796.3853,4.232286688,Industrial Goods & Services,Industrial Engineering,0.12448132780082988,0.36929460580912865,1.0344378390792481,1.1754320196829184,0.0228877954403046
ASTE US,20/Jul/2010,19/Oct/2010,30/Sep/2010,20/Jul/2010,662.221,3.000089855,Industrial Goods & Services,Industrial Engineering,0.0027681660899654403,0.03667820069204164,1.2524622485101047,0.9587674232233321,0.023775436158982487
ASTE US,19/Oct/2010,21/Feb/2012,31/Dec/2010,19/Oct/2010,699.1811,3.536951998,Industrial Goods & Services,Industrial Engineering,-0.021725239616613434,-0.04984025559105432,1.1223475409836066,1.1011774695505516,0.025784666845449885
ATGE US,27/Jan/2010,23/Apr/2010,31/Mar/2010,27/Jan/2010,3989.7495,26.89079004,Retail,General Retailers,0.08648648648648627,0.11351351351351346,1.0300290754022097,1.1104796459111164,0.010857778755580758
ATGE US,23/Apr/2010,13/Aug/2010,30/Jun/2010,23/Apr/2010,5283.9124,38.38452774,Retail,General Retailers,0.02223251505326518,0.030569708198239898,1.5508159105009702,1.027667971639853,0.02066951436503368
ATGE US,13/Aug/2010,27/Oct/2010,30/Sep/2010,13/Aug/2010,3227.7305,58.13784073,Retail,General Retailers,0.022173913043478377,0.027391304347826217,1.0358030500716533,0.8234039345900728,0.03662036977135843
ATGE US,27/Oct/2010,26/Jan/2011,31/Dec/2010,27/Oct/2010,3023.3421,50.68268096,Retail,General Retailers,-0.017023959646910503,-0.016183270281630913,0.8532118452791847,0.9707191800279535,0.04008417960745033
ATHN US,16/Mar/2010,30/Apr/2010,31/Mar/2010,16/Mar/2010,1256.2703,27.135348399999998,Technology,Software & Computer Services,-0.030558482613277205,-0.1190727081138041,1.4145403704998252,0.9812206572769954,0.033918067354992414
ATHN US,30/Apr/2010,23/Jul/2010,30/Jun/2010,30/Apr/2010,1203.1126,22.97716449,Technology,Software & Computer Services,-0.12352941176470589,-0.18823529411764706,1.1327980234712784,0.7911668484187568,0.019642243132418465
ATHN US,23/Jul/2010,22/Oct/2010,30/Sep/2010,23/Jul/2010,730.122,13.18090734,Technology,Software & Computer Services,-0.0014347202295553751,0.02869440459110484,0.6071612570839773,1.1459482392872296,0.027819347116716815
ATHN US,22/Oct/2010,18/Feb/2011,31/Dec/2010,22/Oct/2010,1041.0384,8.701786927999999,Technology,Software & Computer Services,0.022486772486772555,0.07539682539682557,0.7905006418485236,1.215329652484573,0.023925777578212556
ATHR US,26/Jan/2010,20/Apr/2010,31/Mar/2010,26/Jan/2010,2314.4335,29.87102397,Technology,Technology Hardware & Equipment,0.16477272727272707,0.19318181818181812,2.509530791788856,1.030674846625767,0.016168860027934603
ATHR US,20/Apr/2010,20/Jul/2010,30/Jun/2010,20/Apr/2010,2771.4866,51.91919643,Technology,Technology Hardware & Equipment,0.15408664582402842,0.15944618133095134,2.0955882352941173,1.1611336032388666,0.023047190072067895
ATHR US,20/Jul/2010,26/Oct/2010,30/Sep/2010,20/Jul/2010,2129.9186,59.88543017,Technology,Technology Hardware & Equipment,0.014138326327856277,0.009935040122277528,1.3774127310061601,0.8968395945140131,0.02702756079861237
ATHR US,26/Oct/2010,11/Feb/2011,31/Dec/2010,26/Oct/2010,2076.7415,55.05692046,Technology,Technology Hardware & Equipment,-0.19028819581523881,-0.1993683379392025,1.0343884329816335,1.1250472232716284,0.025584091318041048
ATI US,27/Jan/2010,28/Apr/2010,31/Mar/2010,27/Jan/2010,4192.7577,70.05560964,Industrial Goods & Services,Aerospace & Defense,0.02127659574468077,0.14184397163120588,2.0158030303030303,0.934785495416269,0.02813895515406588
ATI US,28/Apr/2010,28/Jul/2010,30/Jun/2010,28/Apr/2010,5197.6572,91.72536255,Industrial Goods & Services,Aerospace & Defense,-0.006592292089249496,0.09787018255578106,1.65669286861594,0.9945516945516948,0.025711114406978305
ATI US,28/Jul/2010,26/Oct/2010,30/Sep/2010,28/Jul/2010,4766.4522,73.54624925,Industrial Goods & Services,Aerospace & Defense,-0.024459845087647758,0.003668976763147036,1.8559927014664335,0.9633533351908106,0.0334010686068617
ATI US,26/Oct/2010,26/Jan/2011,31/Dec/2010,26/Oct/2010,4826.193,51.67939468,Industrial Goods & Services,Aerospace & Defense,0.002713178294573515,0.027131782945736482,1.4630581395348836,1.144727116663885,0.02476715675309235
ATMI US,03/Feb/2010,02/Feb/2011,31/Mar/2010,03/Feb/2010,532.4779,3.216167874,Technology,Technology Hardware & Equipment,-0.011904761904761862,0.011904761904761862,1.3290506780870808,0.9113856068743286,0.018909195854753945
ATML US,05/May/2010,05/Aug/2010,30/Jun/2010,05/May/2010,2446.8964,21.36668542,Technology,Technology Hardware & Equipment,0.23275862068965547,0.26724137931034475,1.3791364902506964,1.1494011431803033,0.02496061690356617
ATML US,05/Aug/2010,05/Nov/2010,30/Sep/2010,05/Aug/2010,2391.0231,23.97826998,Technology,Technology Hardware & Equipment,0.2658610271903321,0.2930513595166162,1.1587025922615246,1.3391302431175471,0.023565033542703694
ATML US,05/Nov/2010,09/Feb/2011,31/Dec/2010,05/Nov/2010,4121.4986,60.07776367,Technology,Technology Hardware & Equipment,0.12476370510396961,0.19659735349716434,2.1146213765802577,1.2245344090436967,0.021737809935301056
ATNI US,29/Oct/2010,30/Apr/2014,31/Dec/2010,29/Oct/2010,754.4631,4.073678954,Telecommunications,Mobile Telecommunications,-0.32216242661448136,-0.3067514677103719,1.0773378804584732,0.862225723608893,0.021485653318021207
ATO US,06/May/2010,05/Aug/2010,30/Jun/2010,06/May/2010,2679.0304,6.516877696,Utilities,"Gas, Water & Multiutilities",-0.00044130626654892424,-0.00044130626654892424,1.2038836518595042,0.944880200581902,0.009776498744032606
ATO US,04/Nov/2010,09/Feb/2011,31/Dec/2010,04/Nov/2010,2687.5146,8.16902418,Utilities,"Gas, Water & Multiutilities",-0.0004327131112071836,0.0017308524448291784,1.0712263489838822,1.0336726327541692,0.004232917859303291
ATPAQ US,18/Mar/2010,07/May/2010,31/Mar/2010,18/Mar/2010,940.4345,33.88081173,Oil & Gas,Oil & Gas Producers,0.007514761137949355,0.12453032742887804,4.640226628895184,1.1306471306471306,0.045092207020913336
ATPAQ US,07/May/2010,09/Aug/2010,30/Jun/2010,07/May/2010,774.6528,36.1605045,Oil & Gas,Oil & Gas Producers,-0.2983250339520145,-0.36351290176550477,2.3432465923172243,0.7821258593336858,0.04430851404287046
ATPAQ US,09/Aug/2010,15/Mar/2011,30/Sep/2010,09/Aug/2010,578.8518,35.69076741,Oil & Gas,Oil & Gas Producers,-0.5812356979405036,-0.45766590389016026,1.2645631067961165,1.083493282149712,0.06570793402812479
ATR US,11/Feb/2010,16/Apr/2010,31/Mar/2010,11/Feb/2010,2370.8116,3.835840373,Industrial Goods & Services,General Industrials,0.00952380952380949,0.0519047619047619,1.2783588093322606,1.0339836375078666,0.009763053096435262
ATR US,16/Apr/2010,21/Jul/2010,30/Jun/2010,16/Apr/2010,2873.2568,5.283181662,Industrial Goods & Services,General Industrials,0.04450378282153977,0.09256786826880292,1.4238490129744297,1.0622215868477485,0.008818363377523442
ATR US,21/Jul/2010,21/Oct/2010,30/Sep/2010,21/Jul/2010,2733.0864,5.05681334,Industrial Goods & Services,General Industrials,0.03250401284109139,0.05337078651685401,1.1407981257119189,0.9930900281958619,0.016676588892196607
ATR US,21/Oct/2010,11/Feb/2011,31/Dec/2010,21/Oct/2010,3196.792,4.916471978,Industrial Goods & Services,General Industrials,-0.0007434944237917351,0.006691449814126393,1.2451100706113356,0.9935960130505874,0.00964623865689443
ATU US,17/Mar/2010,17/Jun/2010,31/Mar/2010,17/Mar/2010,1389.1126,6.3089666929999995,Industrial Goods & Services,General Industrials,0.013409961685823868,0.09482758620689657,2.164041254040741,1.1958980438648488,0.016688876617464304
ATU US,17/Jun/2010,29/Sep/2010,30/Jun/2010,17/Jun/2010,1355.0539,14.39671324,Industrial Goods & Services,General Industrials,-0.002481389578163906,0.05045492142266328,1.4481614745656157,0.90805516043818,0.030817370221814012
ATU US,29/Sep/2010,16/Dec/2010,30/Sep/2010,29/Sep/2010,1546.8709,9.862322531,Industrial Goods & Services,General Industrials,0.014792899408283988,0.07174556213017769,1.2451552724088482,1.14568692700875,0.022635082710082178
ATU US,16/Dec/2010,17/Mar/2011,31/Dec/2010,16/Dec/2010,1815.0732,15.791527800000003,Industrial Goods & Services,General Industrials,0.03794940079893494,0.10519307589880178,1.2798719551164224,1.1579377634800132,0.01831896168859582
ATVI US,11/Feb/2010,07/May/2010,31/Mar/2010,11/Feb/2010,12808.5511,116.6264726,Personal & Household Goods,Leisure Goods,-0.026666666666666727,-0.020000000000000018,1.1224489795918366,1.0171717171717172,0.014654196486764238
ATVI US,07/May/2010,06/Aug/2010,30/Jun/2010,07/May/2010,13111.5486,141.2932953,Personal & Household Goods,Leisure Goods,0.015936254980079667,0.02257636122177953,1.0638710911351248,0.8749022463123264,0.016529302313037755
ATVI US,06/Aug/2010,05/Nov/2010,30/Sep/2010,06/Aug/2010,14615.8927,96.42725087,Personal & Household Goods,Leisure Goods,-0.008871989860583018,-0.006337135614702172,0.8650744886419292,1.0426981790482464,0.017722582270095818
ATVI US,05/Nov/2010,10/Feb/2011,31/Dec/2010,05/Nov/2010,14239.7411,63.49378951,Personal & Household Goods,Leisure Goods,0.01633165829145744,0.02261306532663343,0.9969504350395014,0.9955932819056906,0.012839227811513853
ATW US,04/Feb/2010,10/May/2010,31/Mar/2010,04/Feb/2010,2328.0784,22.77632135,Oil & Gas,"Oil Equipment, Services & Distribution",-0.004514672686230181,-0.02708803611738153,2.054619407321325,0.9131787330316742,0.02177485507900665
ATW US,10/May/2010,05/Aug/2010,30/Jun/2010,10/May/2010,1934.9676,28.98134706,Oil & Gas,"Oil Equipment, Services & Distribution",-0.00022507314877340256,-0.0033760972316003723,1.4653243267772176,0.8756639739040928,0.02444997127695475
ATW US,05/Aug/2010,19/Nov/2010,30/Sep/2010,05/Aug/2010,1917.9859,18.23598408,Oil & Gas,"Oil Equipment, Services & Distribution",-0.0011679514132213464,-0.02195748656855878,0.9008975589886823,1.0785732163185557,0.02084504331325048
ATW US,19/Nov/2010,03/Feb/2011,31/Dec/2010,19/Nov/2010,2425.7519,17.45403722,Oil & Gas,"Oil Equipment, Services & Distribution",-0.003733955659276589,-0.04714119019836638,0.8348260362909938,1.1341130254446836,0.017333222160401306
AUXL US,17/Feb/2010,03/May/2010,31/Mar/2010,17/Feb/2010,1538.6155,16.76436968,Health Care,Pharmaceuticals & Biotechnology,0.2325581395348839,0.26511627906976765,0.9752176825184193,1.1205357142857144,0.03491108072576726
AUXL US,03/May/2010,05/Aug/2010,30/Jun/2010,03/May/2010,1611.4724,19.85408448,Health Care,Pharmaceuticals & Biotechnology,-0.09941520467836262,-0.3654970760233919,1.28654004954583,1.0946726572528882,0.032532424542724626
AUXL US,05/Aug/2010,04/Nov/2010,30/Sep/2010,05/Aug/2010,1204.0653,15.15297174,Health Care,Pharmaceuticals & Biotechnology,0.7038043478260869,0.581521739130435,0.734679904142417,1.1826654240447343,0.029264070834811532
AUXL US,04/Nov/2010,10/Feb/2011,31/Dec/2010,04/Nov/2010,1047.4563,10.75451008,Health Care,Pharmaceuticals & Biotechnology,0.33974358974358987,0.5598290598290598,0.7467378410438908,0.8733121525019857,0.02295532414329804
AVA US,18/Feb/2010,06/May/2010,31/Mar/2010,18/Feb/2010,1126.8102,3.289021303,Utilities,"Gas, Water & Multiutilities",-0.023121387283236983,-0.006936416184970984,1.5160642570281122,0.9562913907284768,0.014210150744798157
AVA US,06/May/2010,05/Aug/2010,30/Jun/2010,06/May/2010,1136.5479,3.938331722,Utilities,"Gas, Water & Multiutilities",-0.02648244099021302,-0.033390903857224985,1.3967029177966022,0.9819917798713603,0.0118456585291306
AVA US,05/Aug/2010,28/Oct/2010,30/Sep/2010,05/Aug/2010,1162.818,5.163025258999999,Utilities,"Gas, Water & Multiutilities",0.0005803830528148257,0.0,1.0479956224514273,1.0900644441424494,0.015050883757488675
AVA US,28/Oct/2010,17/Feb/2011,31/Dec/2010,28/Oct/2010,1202.3714,4.276820299,Utilities,"Gas, Water & Multiutilities",0.0005694760820045275,-0.006264236902050024,1.1533194674277734,1.0412278854254422,0.009419980508253857
AVAV US,10/Mar/2010,25/Jun/2010,31/Mar/2010,10/Mar/2010,512.5521,11.43660712,Industrial Goods & Services,Aerospace & Defense,-0.10859375000000004,-0.10859375000000004,1.1423841059602649,0.9548654244306418,0.036314856503713085
AVAV US,25/Jun/2010,09/Mar/2011,30/Jun/2010,25/Jun/2010,503.5743,4.460992437,Industrial Goods & Services,Aerospace & Defense,-0.04517810599478722,-0.04430929626411806,0.79072,0.867260218535006,0.018562481269677373
AVGO US,25/Feb/2010,27/May/2010,31/Mar/2010,25/Feb/2010,4205.6644,15.47679595,Technology,Technology Hardware & Equipment,0.07284768211920545,0.12119205298013247,1.1767766419783314,1.024707412223667,0.012513679745933485
AVGO US,27/May/2010,25/Aug/2010,30/Jun/2010,27/May/2010,4758.5099,8.180421293,Technology,Technology Hardware & Equipment,0.03836184551581123,0.00881285640228091,1.4526687886392853,0.9793477230351103,0.025261714167725303
AVGO US,25/Aug/2010,03/Dec/2010,30/Sep/2010,25/Aug/2010,4843.3935,13.91812824,Technology,Technology Hardware & Equipment,0.06352261790182845,0.12897016361886426,1.2599144278229655,0.8867999297735195,0.02527616785378134
AVGO US,03/Dec/2010,24/Feb/2011,31/Dec/2010,03/Dec/2010,6800.3823,16.71566473,Technology,Technology Hardware & Equipment,0.002892561983471209,0.005785123966942196,1.4273925259713314,1.1025732683224425,0.02235201600639159
AVP US,04/Feb/2010,30/Apr/2010,31/Mar/2010,04/Feb/2010,12939.7968,87.30403897,Personal & Household Goods,Personal Goods,-0.014084507042253391,-0.014084507042253391,1.4579694323144106,0.943092474728566,0.016822933881509267
AVP US,30/Apr/2010,29/Jul/2010,30/Jun/2010,30/Apr/2010,14044.5889,124.6438746,Personal & Household Goods,Personal Goods,-0.0004627487274408981,-0.007866728366496933,1.3925970666887486,0.9469842180373281,0.021355999806427297
AVP US,29/Jul/2010,28/Oct/2010,30/Sep/2010,29/Jul/2010,12984.3012,80.85467307,Personal & Household Goods,Personal Goods,0.0018639328984155767,0.01491146318732528,0.8816537564864254,1.08963308269394,0.016332556690508513
AVP US,28/Oct/2010,08/Feb/2011,31/Dec/2010,28/Oct/2010,13308.881000000001,104.46249590000001,Personal & Household Goods,Personal Goods,-0.011106175033318455,-0.037760995113283014,1.010991292269483,0.9844464605057327,0.01932704685776547
AVT US,28/Jan/2010,29/Apr/2010,31/Mar/2010,28/Jan/2010,4081.3940000000002,28.47730914,Industrial Goods & Services,Electronic & Electrical Equipment,0.037815126050420256,0.09243697478991608,1.5023326015367728,0.9063841446707461,0.017080529230596928
AVT US,29/Apr/2010,11/Aug/2010,30/Jun/2010,29/Apr/2010,5081.528,28.90365345,Industrial Goods & Services,Electronic & Electrical Equipment,0.019907571987202166,0.13188766441521493,1.3406900945939324,1.125717899693282,0.019891042292959193
AVT US,11/Aug/2010,28/Oct/2010,30/Sep/2010,11/Aug/2010,3819.9219,27.56806217,Industrial Goods & Services,Electronic & Electrical Equipment,0.006769230769230639,0.07630769230769241,1.0153536525346272,1.0011944845972076,0.02101752132597127
AVT US,28/Oct/2010,27/Jan/2011,31/Dec/2010,28/Oct/2010,4587.3131,23.25677814,Industrial Goods & Services,Electronic & Electrical Equipment,0.02917020674030013,0.11214953271028039,1.0677963870016327,1.141723286105939,0.013104343056737149
AVX US,26/Apr/2010,28/Jul/2010,30/Jun/2010,26/Apr/2010,2608.1442,3.204046028,Industrial Goods & Services,Electronic & Electrical Equipment,0.10292524377031431,0.22860238353196127,1.4199759175174975,1.0796314780626983,0.012612863311088976
AVX US,28/Jul/2010,26/Oct/2010,30/Sep/2010,28/Jul/2010,2330.7673,4.120198233,Industrial Goods & Services,Electronic & Electrical Equipment,-0.03208556149732644,0.16844919786096235,1.2243971823354105,1.0110637827073077,0.019180867995038455
AVX US,26/Oct/2010,27/Jan/2015,31/Dec/2010,26/Oct/2010,2411.5046,3.143873008,Industrial Goods & Services,Electronic & Electrical Equipment,0.06416275430359941,0.08294209702660416,1.2225026846900706,1.0312791487434911,0.008015133633651077
AVY US,29/Jan/2010,27/Apr/2010,31/Mar/2010,29/Jan/2010,3665.3301,30.14543379,Chemicals,Chemicals,0.013698630136986356,-0.05821917808219179,1.6340750816104463,0.8666757673726373,0.012194609848994915
AVY US,27/Apr/2010,28/Jul/2010,30/Jun/2010,27/Apr/2010,4638.0888,37.03236361,Chemicals,Chemicals,0.041044776119402826,0.0623134328358208,1.2735006822268606,1.1832482465258682,0.00975042788404812
AVY US,28/Jul/2010,27/Oct/2010,30/Sep/2010,28/Jul/2010,3994.64,33.60128086,Chemicals,Chemicals,0.0006835269993163973,0.02358168147641826,1.3207874598162217,1.0523725418398777,0.022234919074220896
AVY US,27/Oct/2010,02/Feb/2011,31/Dec/2010,27/Oct/2010,4175.5378,20.88310307,Chemicals,Chemicals,0.005575598556903927,0.023614299770416736,1.0226965480469892,1.041963922328399,0.012049424567897931
AWHHF US,12/Feb/2010,07/May/2010,31/Mar/2010,12/Feb/2010,2240.361,8.961531106,Insurance,Nonlife Insurance,0.003759398496240518,-0.012030075187969946,1.1598440545808968,0.9966386554621848,0.0094425046085369
AWHHF US,07/May/2010,06/Aug/2010,30/Jun/2010,07/May/2010,2066.2765,7.037301454,Insurance,Nonlife Insurance,0.010079798404031948,-0.029819403611927697,1.1871769209339755,0.9743003650269426,0.0086454727015118
AWHHF US,06/Aug/2010,05/Nov/2010,30/Sep/2010,06/Aug/2010,2570.2742,13.43071425,Insurance,Nonlife Insurance,-0.011474713132171743,0.029324266893327344,1.0471874639731118,1.1085837200636834,0.01330059556002651
AWHHF US,05/Nov/2010,18/Feb/2011,31/Dec/2010,05/Nov/2010,2480.6696,11.29610025,Insurance,Nonlife Insurance,0.012693375644585503,0.02578341927806438,1.1806527653322354,1.0515278528010066,0.01178705285878591
AWI US,01/Mar/2010,03/May/2010,31/Mar/2010,01/Mar/2010,2111.8406,7.457339413,Construction & Materials,Construction & Materials,0.005747126436781658,-0.09597701149425275,3.021439509954058,0.9518499746578815,0.024350717075592145
AWI US,03/May/2010,06/Aug/2010,30/Jun/2010,03/May/2010,2419.051,7.5955109720000005,Construction & Materials,Construction & Materials,0.04811844540407151,0.13078346699568177,1.9010530137981119,1.159734404294568,0.025545973049149642
AWI US,06/Aug/2010,05/Nov/2010,30/Sep/2010,06/Aug/2010,2123.1604,9.84120704,Construction & Materials,Construction & Materials,0.0166163141993958,0.04884189325276944,1.114614240684213,1.287515400672842,0.030151802456508822
AWI US,05/Nov/2010,28/Feb/2011,31/Dec/2010,05/Nov/2010,2883.2186,6.960421244,Construction & Materials,Construction & Materials,-0.046214788732394374,-0.06073943661971826,0.9266457575656469,1.2288549824466648,0.02080646655815791
AWK US,01/Mar/2010,05/May/2010,31/Mar/2010,01/Mar/2010,3682.0436,15.57055196,Utilities,"Gas, Water & Multiutilities",-0.013698630136986356,-0.03356164383561644,1.3509316770186333,0.9666666666666668,0.01031039810758196
AWK US,05/May/2010,05/Aug/2010,30/Jun/2010,05/May/2010,3843.2482,15.35630884,Utilities,"Gas, Water & Multiutilities",0.0055749128919859725,0.013937282229965264,1.2403038898470573,1.0091707272225798,0.010822219805890052
AWK US,05/Aug/2010,04/Nov/2010,30/Sep/2010,05/Aug/2010,3770.0908,17.46502385,Utilities,"Gas, Water & Multiutilities",0.01080351114112088,0.04388926401080373,1.0362059223874465,1.1293040951253819,0.01500397254314598
AWK US,04/Nov/2010,28/Feb/2011,31/Dec/2010,04/Nov/2010,4214.4441,16.52786911,Utilities,"Gas, Water & Multiutilities",0.0063775510204082675,0.029974489795918213,1.2480996607820967,1.0455911771174813,0.007011171178125529
AXE US,27/Apr/2010,27/Jul/2010,30/Jun/2010,27/Apr/2010,1746.8182,10.85922675,Industrial Goods & Services,Electronic & Electrical Equipment,0.018598884066955756,0.10415375077495326,1.226920271774596,1.1225081475687657,0.01496623932871458
AXE US,27/Jul/2010,26/Oct/2010,30/Sep/2010,27/Jul/2010,1660.2121,11.40112943,Industrial Goods & Services,Electronic & Electrical Equipment,0.01391541609822644,0.08731241473396989,1.3542156369181069,1.0965303835486744,0.018974374887711677
AXE US,26/Oct/2010,01/Feb/2011,31/Dec/2010,26/Oct/2010,1831.1289,14.06874655,Industrial Goods & Services,Electronic & Electrical Equipment,0.02211421628189547,0.03961117861482388,1.1637367410387711,1.1749825660770234,0.019064052343424696
AXL US,05/Feb/2010,30/Apr/2010,31/Mar/2010,05/Feb/2010,585.7230000000001,18.30348928,Automobiles & Parts,Automobiles & Parts,0.014084507042253502,0.295774647887324,7.9,0.8881856540084387,0.041256451274043586
AXL US,30/Apr/2010,30/Jul/2010,30/Jun/2010,30/Apr/2010,768.6804,20.66308765,Automobiles & Parts,Automobiles & Parts,0.0403146509341199,0.16715830875122895,9.698113207547168,1.046692607003891,0.035714258923716706
AXL US,30/Jul/2010,29/Oct/2010,30/Sep/2010,30/Jul/2010,664.7479,17.40766443,Automobiles & Parts,Automobiles & Parts,0.026169706582077845,0.12371134020618557,2.7184115523465704,1.2363877822045153,0.04260830928512488
AXLL US,06/May/2010,22/Nov/2010,30/Jun/2010,06/May/2010,615.4283,6.146465315,Chemicals,Chemicals,-0.013761467889908285,-0.981651376146789,0.637648777242686,0.9388487576970617,0.027852415790404844
AXLL US,22/Nov/2010,17/Feb/2011,31/Dec/2010,22/Nov/2010,687.3969,6.17665047,Chemicals,Chemicals,0.1182572614107884,0.09958506224066377,1.4155479878985056,1.0104821690357155,0.03639856638240757
AXP US,22/Jan/2010,23/Apr/2010,31/Mar/2010,22/Jan/2010,50254.72,234.1389486,Financial Services,Financial Services,0.011673151750972943,0.05836575875486405,2.797697063369397,0.9358547270607865,0.01045141677947065
AXP US,23/Apr/2010,23/Jul/2010,30/Jun/2010,23/Apr/2010,55970.9413,270.5443662,Financial Services,Financial Services,0.04963805584281267,0.09134781109962087,1.7315269640081312,1.1702092984069896,0.01382498283494022
AXP US,23/Jul/2010,22/Oct/2010,30/Sep/2010,23/Jul/2010,51882.4409,335.6342147,Financial Services,Financial Services,0.018890920170627545,0.03778184034125531,1.4986442944859868,1.0727726574500769,0.024075144138967858
AXP US,22/Oct/2010,25/Jan/2011,31/Dec/2010,22/Oct/2010,48453.3438,453.2601732,Financial Services,Financial Services,0.021306419960751555,0.03392206335856485,1.2427868529816966,0.9166508303508273,0.01904485485377826
AXS US,09/Feb/2010,27/Apr/2010,31/Mar/2010,09/Feb/2010,4087.3207,20.55655765,Insurance,Nonlife Insurance,0.024282560706401668,0.01986754966887405,1.0650048875855327,1.0605782469022487,0.00954590234197899
AXS US,27/Apr/2010,04/Aug/2010,30/Jun/2010,27/Apr/2010,4192.1806,19.88136619,Insurance,Nonlife Insurance,0.010272336359292922,0.017916865742952703,1.2920499394216718,1.0129266977358158,0.009403949497868932
AXS US,04/Aug/2010,02/Nov/2010,30/Sep/2010,04/Aug/2010,3979.5511,23.80845089,Insurance,Nonlife Insurance,-0.005085529357374274,-0.032593619972260957,1.0722859093685988,1.072372940999045,0.015004901991319436
AXS US,02/Nov/2010,09/Feb/2011,31/Dec/2010,02/Nov/2010,4098.5987,19.30673991,Insurance,Nonlife Insurance,0.008423022929340052,0.042583060364997705,1.1697766005341306,1.059198505371322,0.011595474989314292
AYE US,05/May/2010,04/Aug/2010,30/Jun/2010,05/May/2010,3518.5818,56.18459159,Utilities,Electricity,-0.0013844023996306687,-0.02353484079372392,0.8345052905142009,0.9002153273955174,0.009774522547433795
AYE US,04/Aug/2010,27/Oct/2010,30/Sep/2010,04/Aug/2010,3963.0565,34.61240512,Utilities,Electricity,0.005591798695246952,0.013047530288909703,0.8584798011133142,1.1603770247390899,0.01516594515493622
AYE US,27/Oct/2010,24/Feb/2011,31/Dec/2010,27/Oct/2010,3911.322,39.76858453,Utilities,Electricity,0.0013940520446096283,-0.11338289962825254,1.0283813133279684,0.9592339859822127,0.013543525709734836
AYI US,31/Mar/2010,30/Jun/2010,31/Mar/2010,31/Mar/2010,1835.9155,8.719288761,Construction & Materials,Construction & Materials,0.004158004158004269,0.06694386694386711,1.7516179318815248,1.0827400215749732,0.011580711770993757
AYI US,30/Jun/2010,06/Oct/2010,30/Jun/2010,30/Jun/2010,1584.1962,21.93588775,Construction & Materials,Construction & Materials,-0.02506546950991384,-0.07594463150018704,1.5607049089028564,0.8845104886192745,0.025011844495848905
AYI US,06/Oct/2010,10/Jan/2011,31/Dec/2010,06/Oct/2010,2089.3274,13.18205635,Construction & Materials,Construction & Materials,0.0039032006245121043,0.04957064793130361,1.1807467981480368,1.1690940571370372,0.01596256784989085
AYR US,10/Aug/2010,04/Nov/2010,30/Sep/2010,10/Aug/2010,716.0346,3.1269087339999997,Industrial Goods & Services,Industrial Transportation,0.0017985611510791255,-0.06384892086330951,0.8711950168932443,1.1361957101108315,0.029189499713992834
AYR US,04/Nov/2010,10/Mar/2011,31/Dec/2010,04/Nov/2010,748.6178,5.038667498,Industrial Goods & Services,Industrial Transportation,0.0009302325581395099,-0.00651162790697668,0.9676742730517449,1.1432017620529313,0.02203879338588164
AZO US,02/Mar/2010,25/May/2010,31/Mar/2010,02/Mar/2010,8154.0204,62.87250555,Retail,General Retailers,0.004820936639118534,0.018044077134986347,1.007323870633223,1.059966542272552,0.009329280446134158
AZO US,25/May/2010,21/Sep/2010,30/Jun/2010,25/May/2010,9487.1943,60.18171537,Retail,General Retailers,0.023828435266084247,0.06499867619804078,1.1754385964912282,1.0676580333625987,0.015232693487715592
AZO US,21/Sep/2010,07/Dec/2010,30/Sep/2010,21/Sep/2010,10202.2406,74.81946523,Retail,General Retailers,0.022306822913568558,0.04021176610552635,1.4911660777385158,1.0285308056872038,0.009497156944401487
AZO US,07/Dec/2010,01/Mar/2011,31/Dec/2010,07/Dec/2010,11609.4022,72.28970968,Retail,General Retailers,0.017398006937179966,0.044430986070582934,1.5305482694645256,1.087401772278883,0.008296536196270854
AZPN US,02/Nov/2010,09/Feb/2011,31/Dec/2010,02/Nov/2010,1094.2619,6.182595502000001,Technology,Software & Computer Services,-0.008460236886632888,-0.027072758037225086,1.037,1.1359691417550628,0.019274980465162857
B US,18/Feb/2010,30/Apr/2010,31/Mar/2010,18/Feb/2010,915.3535,3.039597132,Industrial Goods & Services,Support Services,-0.02608695652173898,-0.09304347826086956,1.7895348837209304,0.9642625081221572,0.017336799950843224
